com_id,com_name,capital,emp_num,addr
49825976,精浚科技股份有限公司,25,220,新北市三峽區三樹路168巷46號
71698957,"威柏科技貿易有限公司(WiWU,WEiZ,SYLPH)",197,15,嘉義縣太保市健康路187號
71711172,世界環球科技有限公司(遠傳宜蘭五結加盟門市),84,10,宜蘭縣五結鄉二結村中正路三段122號1樓
69626665,冠雨有限公司,\N,70,暫不提供
72530326,滿玥軒_台北小棧國際餐飲股份有限公司,219,\N,台南市安平區永華路二段569號
9690120,郁珺實業股份有限公司,217,190,台南市南區新義路8號
51580186,鑫沂企業社,110,30,台中市西區台灣大道二段573號5樓C室
49860151,天威保全股份有限公司,110,959,台中市西區五權路2之3號6樓
73144866,知道了餐廳有限公司(知道了茶樓),10,\N,台北市松山區南京東路三段275號2樓
72017471,崴邦國際事業股份有限公司,9,25,台北市中山區中山北路二段45巷11號3樓
51742984,總管家家事清潔有限公司(總管家),8,40,台北市大同區酒泉街183號1樓
51729350,搏盟科技股份有限公司,16,\N,台北市內湖區瑞光路316巷56號8樓
73156808,宏興國際事業有限公司,111,\N,台中市北區台灣大道二段360號14樓之3
2802741,聯大保全股份有限公司,9,400,台北市中山區建國北路二段135號10樓
2900221,統一超商(全國門市聯合招募),13,\N,台北市信義區東興路65號2樓
153237,後憲保全股份有限公司,111,876,台中市北區忠明路432號6樓之2
71954162,聯宬企業股份有限公司,162,50,南投縣南投市工業北五路3號
73140401,綋德國際貿易有限公司,221,\N,台南市永康區中華路1之12號6樓
50921741,高鼎企業管理顧問有限公司,\N,\N,暫不提供
69622094,世界廠房物業有限公司,\N,15,暫不提供
73145419,"泰商歐迪摩有限公司台灣分公司(Ideal Approach CO.,LTD)",24,\N,新北市樹林區大有路7號
70698935,松穎國際地產有限公司(J&L  SKYTREE CONDOMINIUM),113,\N,台中市西屯區市政路402號13樓之1
2745127,大中製線織造股份有限公司,113,45,台中市西屯區永昌街92號
36058912,先鋒保全股份有限公司(總公司),260,3100,高雄市前鎮區復興三路148號2樓
51471487,溫馨旅館,55,14,桃園市龍潭區中正里中正路457號
69440043,新南糖廠股份有限公司,227,60,台南市南化區中坑里43號
305524,大中鋼鐵股份有限公司,114,320,台中市南屯區向上路一段669號10樓
71726564,太御食品股份有限公司,132,170,台中市大甲區重義二路151號
50576777,斑鳩的窩日式豬排丼飯鍋物餐飲連鎖,253,50,高雄市左營區文守路196號
50062410,益大商務旅館,255,\N,高雄市三民區九如二路172號
50351850,鷹展餐飲集團(竇爸雞腿王),221,100,台南市永康區中正路542巷2號
33951225,敦泰保全股份有限公司,61,450,新竹市東區食品路65號4樓
71953004,鳥巢開發有限公司(鳥巢旅館/褲子大王),260,\N,高雄市前鎮區民權二路648號
71681200,森鐵板燒益豐和牛館(森和餐飲有限公司),114,\N,台中市南屯區益豐路四段502號
9782914,韋祥企業有限公司(成記食品總公司),9,30,台北市中山區長安西路1號
69454877,悅盛保全股份有限公司(悅鶴公寓大廈管理維護股份有限公司),10,400,台北市松山區八德路四段666號12樓之3
9781129,惠隆資訊股份有限公司(FUTEK),16,400,台北市內湖區瑞光路26巷20弄25號4樓
51545049,歐鄉牛排館,342,\N,台東縣台東市新生路268之1號
71694384,優你客兒童育樂股份有限公司(事業體:大房子親子成長空間),68,\N,新竹縣湖口鄉湖中路23號
70673553,宏觀視野股份有限公司(台北設計建材中心),16,15,台北市內湖區新湖一路185號
50135560,順華交通股份有限公司,91,\N,苗栗縣竹南鎮崎頂里3鄰青草51之6號
47154,永慶房產集團_永慶房屋仲介股份有限公司,11,3000,台北市大安區敦化南路二段77號12樓
73177769,城SHIRO日式燒肉,9,\N,台北市中山區雙城街3之1號1樓
69359131,安禾工程行,329,\N,花蓮縣花蓮市新城鄉新興路117巷53號
69446828,肉多多集團_肉多多全球股份有限公司,38,1200,新北市汐止區新台五路一段96號19樓(C棟)
52115136,昭盈交通有限公司,228,35,台南市仁德區文山路18號
8945197,法商家樂福總公司(家福股份有限公司)(家樂福),15,11000,台北市北投區大業路136號
435348,OKmart 來來超商股份有限公司,13,1100,台北市信義區松德路97號B1
72453884,八方雲集餐飲股份有限公司,33,\N,新北市淡水區中正東路二段27號18樓
69615722,紅頂餐飲有限公司,20,100,新北市新莊區新北大道三段7號8樓之6
2134012,裕器工業股份有限公司,68,300,新竹縣湖口鄉鳳山村文化路23號(新竹工業區)
50516995,大鵬灣餐廳,11,\N,台北市大安區和平東路一段141巷9號
70470909,柒串燒_柒人串燒屋(柒串燒屋),9,\N,台北市中山區長安東路一段46之1號
69627286,中園計程汽車股份有限公司(大文山衛星派遣車隊),48,500,桃園市桃園區介新街79號
72573356,水舞酷動股份有限公司(LEE GYM水舞酷動健身俱樂部),125,\N,台中市大雅區上楓里民生路三段492號
67983329,泉成餐飲集團(汕頭泉成有限公司),258,\N,高雄市新興區中山橫路7號
8563,東州互聯網實業股份有限公司,10,\N,台北市松山區民權東路三段102號10樓
72570302,"三商餐飲股份有限公司(品川蘭,BANCO,三商巧福,拿坡里披薩,福勝亭,鮮五丼)",9,\N,台北市中山區建國北路二段145號5樓
2002089,揚秦國際企業股份有限公司(麥味登)(麥味登、綠野農莊、炸鷄大獅、ReAL烘焙坊),49,400,桃園市中壢區合江路16號
73074086,十六家飯麵館,31,\N,新北市林口區文化一路一段97號
69423936,慕里諾餐飲集團_慕里諾國際股份有限公司(勝政豬排、勝勢豬排、杏桃鬆餅、鳥丈爐端燒、安普蕾修、SPIGA PASTA石壁家),\N,430,暫不提供
73089028,虹明光電企業有限公司,267,8,高雄市仁武區澄合街273號
73195056,禾嘉馨科技有限公司,137,\N,彰化縣員林市新義街298號2樓
71721692,山月22 villa別墅民宿,79,\N,宜蘭縣礁溪鄉十六結路94之7號
72570890,EVERYDAY CAFE每日啡,22,\N,新北市永和區中正路746號
72470821,九號早餐店（正味早午餐）,254,\N,高雄市鼓山區美術館路9號
71056174,達樂友貿易實業有限公司,28,30,新北市蘆洲區集賢路393號4樓
50741780,福樟實業有限公司,200,\N,嘉義縣大林鎮中正路901號
71531001,翔美實業有限公司,116,\N,台中市大里區仁化路335號3樓
51390515,台灣媽媽寶寶股份有限公司(小南國婦幼用品館),114,40,台中市南屯區龍德路一段28號2樓
1817535,勝泰衛材股份有限公司,138,180,彰化縣和美鎮彰草路三段99號
71956640,脆司肯美式炸雞店,255,\N,高雄市三民區鼎中路419號
72529656,有巢氏房屋台南永康大橋加盟店_高戶屋不動產有限公司,221,15,台南市永康區中山南路164之35號
71698690,泉盛工業社(誠鎰股份有限公司),139,\N,彰化縣鹿港鎮彰濱工業區環工十六路10號
50390667,墾丁小丑魚度假村有限公司,293,300,屏東縣恆春鎮龍泉路192巷12之1號
48328527,高健食品科技有限公司,245,\N,台南市柳營區長榮路六段557號
535237,新光三越百貨股份有限公司,13,2900,台北市信義區松高路19號8樓
71707477,七曜實業有限公司,259,\N,高雄市苓雅區忠孝二路33號
50502838,惠傑工業股份有限公司,119,60,台中市豐原區鎌村路271巷66號
69424978,合基農產實業有限公司(鮮榨一番-合基農產),254,5,高雄市鼓山區內惟路429號
72516416,金葉國際餐飲股份有限公司,11,30,台北市大安區四維路6巷33號
