job_id,degree,low_salary,high_salary,exp_year,job_type,worktime,isnight,needed_num,url
480,56,40000,\N,0,0,8.0,1,1,91269453
481,56,40000,\N,3,0,-3.0,1,1,84837156
482,0,40000,\N,5,0,-3.0,1,1,80258575
483,0,40000,\N,3,0,-3.0,1,1,84892185
484,60,30000,45000,0,0,8.0,1,1,91432116
485,60,40000,\N,0,0,8.0,1,1,91274134
486,56,40000,\N,6,0,8.0,1,1,91304100
487,56,40000,\N,4,0,8.0,1,1,91304009
488,60,55000,60000,0,0,8.0,1,0,91211777
489,0,40000,\N,0,0,8.0,3,0,91143810
490,60,40000,\N,0,0,8.0,1,0,85915016
491,60,32000,40000,1,0,8.0,1,1,85164266
492,60,30000,40000,2,0,9.0,1,1,80098974
493,0,40000,\N,3,0,8.0,1,1,91458340
494,0,29600,35000,0,0,8.0,1,1,91458329
495,56,40000,\N,3,0,8.0,1,1,91115397
496,56,35000,35000,0,0,8.0,1,1,86032266
497,0,40000,\N,5,0,8.0,1,1,86026069
498,0,40000,\N,3,0,8.0,1,1,86024500
499,0,40000,\N,0,0,8.0,1,1,85219168
500,56,40000,\N,5,0,8.0,1,1,85156001
501,0,40000,\N,0,0,8.0,1,1,79762731
502,8,28000,28000,0,0,8.0,1,0,77152166
503,60,30000,40000,0,0,8.0,3,3,91549108
504,60,30000,30000,0,0,9.0,1,2,91549031
505,0,31300,41363,1,0,-3.0,1,2,91548859
506,60,30000,40000,0,0,8.0,3,3,91547747
507,0,34000,36000,1,0,9.0,1,1,91547624
508,0,38000,38000,0,0,8.0,1,1,91547502
509,12,40000,\N,2,0,8.0,3,1,91547212
510,0,30000,60000,0,0,5.5,1,1,91546584
511,4,25800,25800,0,0,8.0,1,1,91545892
512,0,38000,38000,0,0,8.0,1,1,91545762
513,0,33000,33000,0,0,8.0,1,1,91545193
514,0,40000,\N,0,0,8.0,1,0,91540884
515,60,30000,40000,0,0,8.0,3,2,91539545
516,60,30000,40000,0,0,8.0,3,2,91535190
517,60,30000,35000,1,0,8.0,1,1,91530033
518,60,40000,\N,3,0,11.0,0,2,91529290
519,0,40000,60000,1,0,8.0,1,1,91528725
520,0,50000,70000,1,0,8.0,1,1,91528715
521,60,30000,40000,0,0,8.0,3,2,91526184
522,60,30000,40000,0,0,8.0,3,2,91523654
523,60,30000,40000,0,0,8.0,3,2,91522357
524,12,27000,30000,3,0,8.0,1,1,91510959
525,60,36000,50000,2,0,8.0,1,1,91489002
526,60,30000,30000,0,0,8.0,0,1,91483816
527,56,26000,40000,0,0,8.0,1,1,91478392
528,0,31000,200000,0,0,9.0,1,3,91469260
529,60,28000,60000,2,0,11.0,3,2,91426622
530,28,36000,50000,5,0,8.0,1,1,91293434
531,12,36000,45000,2,0,8.0,1,2,91290970
532,0,40000,\N,0,0,8.5,1,1,91286392
533,0,30000,35000,0,0,8.0,1,1,91277717
534,12,28000,40000,1,0,8.0,1,1,91272151
535,0,28000,35000,0,0,8.0,1,0,91240901
536,0,40000,\N,0,0,8.0,1,0,91240261
537,60,36000,36000,5,0,8.0,1,2,91223675
538,0,30000,32000,0,0,8.0,0,1,91222123
539,60,34000,34000,0,0,8.0,1,1,91221543
540,60,28000,38000,3,0,8.0,3,1,91198407
541,60,24000,50000,0,0,9.5,1,0,91150531
542,60,24000,50000,0,0,9.5,1,0,91150528
543,28,35000,45000,2,0,8.0,3,1,91134588
544,0,40000,100000,0,0,8.0,1,0,86023380
545,0,35000,35000,0,0,9.0,1,0,86019807
546,0,35000,35000,0,0,9.0,1,0,86019798
547,0,40000,\N,0,0,8.0,1,1,85913274
548,0,40000,60000,1,0,8.0,1,1,85907448
549,0,50000,70000,1,0,8.0,1,1,85907432
550,0,35000,42000,1,0,9.0,1,3,85894643
551,60,34000,36000,2,0,8.0,1,1,85888178
552,60,36000,36000,0,0,8.0,0,1,85885770
553,60,30000,40000,0,0,8.0,3,1,85202996
554,0,30000,32000,0,0,8.0,3,2,85202272
555,0,40000,60000,1,0,8.0,1,1,85176129
556,0,50000,70000,1,0,8.0,1,1,85176120
557,0,40000,60000,1,0,8.0,1,1,85176045
558,0,50000,70000,1,0,8.0,1,1,85176040
559,0,35000,35000,0,0,9.0,1,0,85160033
560,56,30000,40000,0,0,9.0,1,1,85158947
561,60,26000,30000,0,0,8.0,3,1,85130292
562,60,27500,29000,0,0,8.0,3,0,85114873
563,0,29500,35000,0,0,8.0,0,0,85090916
564,12,26000,30000,2,0,-7.5,1,1,85068486
565,60,42000,42000,3,0,9.0,1,1,85041621
